categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,tipo_brocha,formulacion,tipo_piel,cobertura,acabado,textura
Ojos,Sombras de ojos,Rem Beauty,Starlet,Sombra de ojos líquida,23.0,1,2.0,12,2025-04-15,,,"Mate, Irisado/Nacarado, Brillante",,,,,Todo tipo de pieles,,,Liquido
Rostro,Polvos bronceadores,Dior,Dior Forever Nude Bronze,Polvos bronceadores acabado radiante edición limitada,65.0,0,0.0,2,2025-04-15,,,,,,,,Todo tipo de pieles,Ligera,Natural,
Labios,Voluminizador labios,Dior Backstage,Dior Lip Glow Oil,Aceite para labios brillante nutritivo realzador del color,48.0,434,4.2,3,2025-04-15,,,,,,,,Todo tipo de pieles,,,Aceite
Ojos,Paleta de sombras de ojos,Dior,Diorshow 5 Couleurs edición limitada,sombras de ojos de colores intensos,75.0,0,0.0,2,2025-04-15,,,Irisado/Nacarado,,,,,,,,
Uñas,Esmalte de uñas,Dior,Dior Vernis,Laca de uñas efecto gel color couture,37.0,0,0.0,2,2025-04-15,,,,,,,,Todo tipo de pieles,,Purpurina,
