categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,tipo_brocha,formulacion,tipo_piel,cobertura,acabado,textura
Ojos,Sombras de ojos,Rem Beauty,Starlet,Sombra de ojos líquida,23.0,1,2.0,12,2025-04-21,,Clean at Sephora,"Mate, Irisado/Nacarado, Brillante",,,,,Todo tipo de pieles,,,Liquido
Labios,Voluminizador labios,Dior Backstage,Dior Lip Glow Oil,Aceite para labios brillante nutritivo realzador del color,48.0,437,4.2,3,2025-04-21,,,,,,,,Todo tipo de pieles,,,Aceite
Uñas,Esmalte de uñas,Dior,Dior Vernis,Laca de uñas efecto gel color couture,37.0,0,0.0,2,2025-04-21,,,,,,,,Todo tipo de pieles,,Purpurina,
Labios,Gloss/ Brillo labial,Valentino Make Up,Puffer Gloss,"Brillo de labios extra volumen, extra brillo, extra cuidado",39.99,6,4.7,5,2025-04-21,,,,,,,,,,,Liquido
Labios,Gloss/ Brillo labial,Fenty Beauty,Gloss Bomb Oil,Aceite-gloss para los labios,28.0,0,0.0,7,2025-04-21,,,,,,,,Todo tipo de pieles,,,Liquido
