,categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,url_producto,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,formulacion,tipo_piel,cobertura,acabado,textura
646,Desmaquillante,Desmaquillante rostro,Collistar,Solucion bifásica desmaquillante,Agua Limpiadora,28.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/solucion-bif%c3%a1sica-desmaquillante---agua-limpiadora-715646.html,Standard,,,,,,Todo tipo de pieles,,,Liquido
647,Rostro,Colorete,Rare Beauty,Soft Pinch Blush,Mini blush líquido,18.0,110,4.4,3,2025-05-06,https://www.sephora.es/p/soft-pinch---colorete-liquido-tono-hope-P10053951.html,,Vegano,,,,,,,,
648,Ojos,Paleta de sombras de ojos,Huda Beauty,Pretty Grunge,Paleta de 18 sombras de ojos,73.0,718,4.6,0,2025-05-06,https://www.sephora.es/p/pretty-grunge---paleta-de-18-sombras-de-ojos-693151.html,,,,,,,,,,
649,Pinceles & accesorios,Brocha rostro,Makeup By Mario,Brocha F4,Brocha para base de maquillaje,37.0,268,4.6,0,2025-05-06,https://www.sephora.es/p/brocha-f4---brocha-para-base-de-maquillaje-695295.html,Standard,,,,,,,,,
650,Labios,Gloss/ Brillo labial,Makeup By Mario,MoistureGlow™ Plumping Lip Color,Gloss para los labios,29.0,40,2.9,13,2025-05-06,https://www.sephora.es/p/moistureglow%e2%84%a2-plumping-lip-color---gloss-para-los-labios-P10052808.html,Standard,,,,,,Todo tipo de pieles,,,Crema
651,Pinceles & accesorios,Brocha rostro,Rem Beauty,Brocha F1,Brocha para base de maquillaje,23.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/brocha-f1---brocha-para-base-de-maquillaje-653765.html,,"Vegano, Clean at Sephora",,,,,Todo tipo de pieles,,,Rígido
652,Rostro,Colorete,Makeup By Mario,Soft Pop Plumping Blush Veil,Blush en Crema,37.0,298,4.7,10,2025-05-06,https://www.sephora.es/p/soft-pop-plumping-blush-veil---colorete-en-crema-P10053731.html,,,,,,,,Ligera,,"Crema, Polvo compacto"
653,Rostro,Polvos bronceadores,Nudestix,Nudies Matte Bronzer,"Para ojos, mejillas y labios",37.0,2330,4.6,6,2025-05-06,https://www.sephora.es/p/nudies-all-over-face-color-matte---para-ojos-mejillas-y-labios-P10055236.html,Standard,"Vegano, Clean at Sephora",Mate,"Natural, Mate",Voluminizador,,"Piel normal, Piel mixta, Piel seca, Piel sensible",Ligera,Mate,Crema
654,Rostro,Iluminador,Anastasia Beverly Hills,Glow Seeker Highlighter,Highlighter,44.0,1584,4.8,3,2025-05-06,https://www.sephora.es/p/glow-seeker-highlighter-%e2%80%93-highlighter-P10054269.html,,,,,,,,,Brillante,
655,Ojos,Base de sombra de ojos,Pat McGrath Labs,IntensifEYES™ Longwear Primer,Base para los párpados,34.99,16,3.6,0,2025-05-06,https://www.sephora.es/p/intensifeyes%e2%84%a2-longwear-primer---base-para-los-p%c3%a1rpados-708393.html,Standard,,,,,,Todo tipo de pieles,,,Liquido
656,Uñas,Top coat & base,Manucurist,Green,Top Coat Sunshine,15.99,49,4.8,0,2025-05-06,https://www.sephora.es/p/green---top-coat-sunshine-702997.html,,"Vegano, Clean at Sephora",,,,,,,,
657,Ojos,Máscara de pestañas,Grande Cosmetics,GrandeMASCARA,Máscara de pestañas con péptidos resistentes al agua,24.99,133,4.4,0,2025-05-06,https://www.sephora.es/p/grandemascara---m%c3%a1scara-de-pestanas-con-peptidos-resistentes-al-agua-619072.html,Standard,,,,,,,,,
658,Uñas,Tratamiento para uñas,Manucurist,Green Care,Sérum ideal para uñas y cutículas,14.99,68,4.8,0,2025-05-06,https://www.sephora.es/p/green-care---serum-ideal-para-unas-y-cuticulas-702996.html,,"Vegano, Clean at Sephora",,,,,,,,
659,Ojos,Paleta de sombras de ojos,Pat McGrath Labs,Mothership XI : Sunlit Edition,Paleta de sombras de ojos,129.99,24,4.0,0,2025-05-06,https://www.sephora.es/p/mothership-xi-sunlit-edition---paleta-de-sombras-de-ojos-708392.html,Set/Estuche/Kit,,,,,,Todo tipo de pieles,,,
