,categoria,subcategoria,marca,nombre,descripcion,precio,numero_valoraciones,valoracion,num_variaciones,fecha_extraccion,url_producto,formato,responsabilidad,efecto_sombra,efecto_labios,efecto_mascara,formulacion,tipo_piel,cobertura,acabado,textura
0,Rostro,Base de maquillaje,Fenty Beauty,Soft' Lit Naturally Luminous Foundation,Base de maquillaje hidratante,40.0,73,4.7,50,2025-05-06,https://www.sephora.es/p/soft-lit-naturally-luminous-foundation---base-de-maquillaje-P10057913.html,Standard,,,,,,Todo tipo de pieles,Media,Natural,Liquido
1,Rostro,Base de maquillaje,Haus Labs,Triclone Skin Tech Foundation,Cobertura media con arnica fermentada,49.99,35,4.5,51,2025-05-06,https://www.sephora.es/p/triclone-skin-tech-foundation---cobertura-media-con-arnica-fermentada-P10050998.html,"Standard, Frasco","Vegano, Clean at Sephora",,,,,Todo tipo de pieles,Media,Natural,Liquido
2,Rostro,Antiojeras & corrector,Haus Labs,Triclone Skin Tech Hydrating Concealer with Fermented Arnica,Corrector,34.99,20,4.1,30,2025-05-06,https://www.sephora.es/p/triclone-skin-tech-hydrating-concealer-with-fermented-arnica---corrector-P10052817.html,Standard,"Vegano, Clean at Sephora",,,,,Todo tipo de pieles,Media,Natural,Liquido
3,Rostro,Colorete,Haus Labs,Color Fuse Talc-Free Powder Blush With Fermented Arnica,Colorete en polvo,32.99,18,4.8,6,2025-05-06,https://www.sephora.es/p/color-fuse-talc-free-powder-blush-with-fermented-arnica---colorete-en-polvo-P10057652.html,Standard,"Vegano, Clean at Sephora",,,,,,,,Polvo compacto
4,Rostro,Iluminador,Haus Labs,Bio-Radiant Gel-Powder Highlighter,Iluminador con arnica fermentada,46.99,8,4.8,5,2025-05-06,https://www.sephora.es/p/bio-radiant-gel-powder-highlighter---iluminador-con-arnica-fermentada-P10050991.html,,"Vegano, Clean at Sephora",,,,,,,,
5,Labios,Gloss/ Brillo labial,Haus Labs,PhD Hybrid Lip Oil,Aceite híbrido para labios,25.99,7,4.3,5,2025-05-06,https://www.sephora.es/p/phd-hybrid-lip-oil---aceite-hibrido-para-labios-P10050996.html,,"Vegano, Clean at Sephora",,,,,,,,
6,Ojos,Paleta de sombras de ojos,Nars,Sweet Kiss Quad Eyeshadow,Paleta de 4 sombras de ojos,52.0,2,4.0,0,2025-05-06,https://www.sephora.es/p/sweet-kiss-quad-eyeshadow---paleta-de-4-sombras-de-ojos-757302.html,Set/Estuche/Kit,,,,,,,,,
7,Estuches maquillaje,Estuches de labiales,Fenty Beauty,Cherry Mouth,Estuche Trío de Labios,51.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/cherry-mouth---estuche-trio-de-labios-757513.html,,,,,,,Todo tipo de pieles,,,
8,Estuches maquillaje,Estuches de labiales,Tarte,Maracuja Juicy Lip Duo,Dúo para los labios,29.0,1,3.0,0,2025-05-06,https://www.sephora.es/p/maracuja-juicy-lip-duo---duo-para-los-labios-757451.html,,,,"Hidratante, Larga duración, Natural, Voluminizador",,,Todo tipo de pieles,,,"Liquido, Crema, Gel, Agua/Bruma"
9,Estuches maquillaje,Estuches de labiales,Too Faced,Lip Injection Plumping Icons,Estuche Labios,50.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/lip-injection-plumping-icons---estuche-labios-744246.html,Set/Estuche/Kit,,,,,,,,,Liquido
10,Labios,Barra de labios,Benefit Cosmetics,Benetint edición limitada,tinte líquido para labios y mejillas,40.0,3,4.0,0,2025-05-06,https://www.sephora.es/p/benetint-edicion-limitada---tinte-liquido-para-labios-y-mejillas-739116.html,,,,,,,,,,Liquido
11,Pinceles & accesorios,Estuche de pinceles,Sephora Collection,El Estuche de Brochas de Iniciación,"Aplicación intuitiva, acabado perfecto",42.99,94,4.9,0,2025-05-06,https://www.sephora.es/p/el-estuche-de-brochas-de-iniciacion---aplicacion-intuitiva-acabado-perfecto-697582.html,Set/Estuche/Kit,Vegano,,,,,Todo tipo de pieles,,,
12,Paletas maquillaje,Paleta rostro,Make Up For Ever,HD Skin All-In-One Palette,Paleta de maquillaje todo en uno,85.0,263,4.0,2,2025-05-06,https://www.sephora.es/p/hd-skin-all-in-one-palette---paleta-para-rostro-P10034209.html,Set/Estuche/Kit,Vegano,,,,,"Todo tipo de pieles, Piel normal, Piel mixta, Piel seca",Media,Natural,"Crema, Polvo compacto"
13,Labios,Barra de labios,Dior,Dior Addict,Barra de labios brillante 90 % de ingredientes de origen natural,51.0,977,4.5,26,2025-05-06,https://www.sephora.es/p/dior-addict---barra-de-labios-reccargable-P10024435.html,"Standard, Frasco recargable/Vaporizador",,,"Hidratante, Brillante / Glossy",,,Todo tipo de pieles,Total,Brillante,"Liquido, Crema"
14,Ojos,Máscara de pestañas,Makeup By Mario,Master Mascara™,Máscara voluminizadora,33.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/master-mascara%e2%84%a2---m%c3%a1scara-voluminizadora-763218.html,Standard,,,,Voluminizador,,Todo tipo de pieles,,,Liquido
15,Ojos,Paleta de sombras de ojos,Dior,Diorshow 5 Couleurs edición limitada cannage,Paleta de sombras de ojos,76.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/diorshow-5-couleurs-edicion-limitada-cannage---paleta-de-sombras-de-ojos-P1000207205.html,,,Irisado/Nacarado,,,,,,,
16,Rostro,Primer & spray fijador,Clinique,Even Better Light Reflecting Primer,Prebase iluminadora,40.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/even-better-light-reflecting-primer---prebase-iluminadora-660396.html,Standard,,,,,,Todo tipo de pieles,Ligera,Natural,"Crema, Gel"
17,Ojos,Máscara de pestañas,Rabanne Makeup,Rockstar Mascara,"Volumen Intenso, Negro Extremo, Longitud de Pestañas",22.0,8,5.0,0,2025-05-06,https://www.sephora.es/p/rockstar-mascara---volumen-intenso-negro-extremo-longitud-de-pestanas-761168.html,,,,,,,,,,
18,Ojos,Eyeliner,Dior,Diorshow Liquid Liner,Eyeliner rotulador color intenso y waterproof,43.0,0,0.0,9,2025-05-06,https://www.sephora.es/p/diorshow-liquid-liner---eyeliner-rotulador-color-intenso-y-waterproof-P1000207241.html,,,,,,,,,,Liquido
19,Ojos,Máscara de pestañas,Dior,Diorshow Overvolume,Máscara de pestañas efecto volumen extremo 24h,45.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/diorshow-overvolume---m%c3%a1scara-de-pestanas-efecto-volumen-extremo-24h-765727.html,,,,,Voluminizador,,,,,Liquido
20,Rostro,Polvos bronceadores,Benefit Cosmetics,Hoola Wave – Bálsamo bronceador,,41.0,1,5.0,5,2025-05-06,https://www.sephora.es/p/hoola-wave-%e2%80%93-b%c3%a1lsamo-bronceador-P10062002.html,,,,,,,Todo tipo de pieles,Ligera,Mate,Bálsamo
21,Pinceles & accesorios,Brocha rostro,Benefit Cosmetics,Hoola Wavemaker – Brocha para bálsamo bronceador,,38.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/hoola-wavemaker-%e2%80%93-brocha-para-b%c3%a1lsamo-bronceador-762492.html,Standard,,,,,,Todo tipo de pieles,,,
22,Rostro,Primer & spray fijador,Charlotte Tilbury,Invisible UV Flawless Poreless Primer,Base de maquillaje,79.0,3,4.7,0,2025-05-06,https://www.sephora.es/p/invisible-uv-flawless-poreless-primer---base-de-maquillaje-765379.html,,,,,,,Todo tipo de pieles,,Natural,Liquido
23,Labios,Gloss/ Brillo labial,Nars,Hot Escape Afterglow Lip Oil,Aceite Labial,32.0,5,5.0,4,2025-05-06,https://www.sephora.es/p/hot-escape-afterglow-lip-oil---aceite-labial-P1000208077.html,,,,,,,,,,Aceite
24,Paletas maquillaje,Paleta de contouring,Nars,Hot Escape Cheek Palette II,Paleta de Coloretes,55.0,6,5.0,0,2025-05-06,https://www.sephora.es/p/hot-escape-cheek-palette-ii---paleta-de-coloretes-761539.html,Set/Estuche/Kit,,,,,,,,Purpurina,
25,Paletas maquillaje,Paleta de contouring,Nars,Hot Escape Cheek Palette III,Paleta Rostro,55.0,6,5.0,0,2025-05-06,https://www.sephora.es/p/hot-escape-cheek-palette-iii---paleta-rostro-761540.html,Set/Estuche/Kit,,,,,,,,Purpurina,
26,Ojos,Paleta de sombras de ojos,Nars,Quad Eyeshadow,Paleta de sombras de ojos,51.0,43,4.6,0,2025-05-06,https://www.sephora.es/p/quad-eyeshadow---paleta-de-sombras-de-ojos-746606.html,Set/Estuche/Kit,,Purpurina,,,,Todo tipo de pieles,,,
27,Rostro,Antiojeras & corrector,Lancôme,Idole Tint Fond,Serum,49.0,0,0.0,5,2025-05-06,https://www.sephora.es/p/idole-tint-fond---serum-P1000207396.html,,,,,,,Todo tipo de pieles,,Brillante,Sérum
28,Labios,Barra de labios,Lancôme,Lip Idole Juicytreat,Pintalabios,42.0,0,0.0,10,2025-05-06,https://www.sephora.es/p/lip-idole-juicytreat---pintalabios-P1000207987.html,,,,Hidratante,,,,,,Liquido
29,Rostro,Colorete,Sisley,Color Cloud,Mousse labios y mejillas,54.0,2,4.5,3,2025-05-06,https://www.sephora.es/p/color-cloud---mousse-labios-y-mejillas-P1000207219.html,,,,,,,,Media,Mate,Crema
30,Ojos,Eyeliner,KVD Beauty,Dazzle Shimmer,Delineador líquido,23.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/dazzle-shimmer---delineador-liquido-765959.html,,,,,,,Todo tipo de pieles,,,
31,Estuches maquillaje,Estuches de labiales,Tarte,maracuja juicy lip travel trio,Sada,30.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/maracuja-juicy-lip-travel-trio---sada-760112.html,"Standard, Set/Estuche/Kit",,,Voluminizador,,,,,Brillante,
32,Paletas maquillaje,Paleta multi-usos,Benefit Cosmetics,Cheeky Love Letter,paleta de bronceadores y coloretes,51.0,1,5.0,0,2025-05-06,https://www.sephora.es/p/cheeky-love-letter----paleta-de-bronceadores-y-coloretes-757502.html,Set/Estuche/Kit,,,,,,Todo tipo de pieles,"Total, Media",Natural,Polvo compacto
33,Rostro,Polvos matificantes,Hourglass,Vanish Airbrush Pressed Powder,Polvos compactos formato de viaje,37.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/vanish-airbrush-pressed-powder---polvos-compactos-formato-de-viaje-763118.html,,,,,,,Todo tipo de pieles,Total,"Natural, Mate",Liquido
34,Rostro,Antiojeras & corrector,Hourglass,Vanish™ Airbrush Concealer,Corrector antiojeras,42.0,3247,4.3,29,2025-05-06,https://www.sephora.es/p/vanish-airbrush-concealer---corrector-P3959108.html,Standard,Vegano,,,,,"Todo tipo de pieles, Piel mixta","Total, Ligera","Natural, Mate",Liquido
35,Rostro,Antiojeras & corrector,Estée Lauder,Double Wear Stay-in-Place,Corrector,36.0,0,0.0,12,2025-05-06,https://www.sephora.es/p/double-wear-stay-in-place---corrector-P1000206894.html,,,,,,,Todo tipo de pieles,Media,Natural,Crema
36,Labios,Gloss/ Brillo labial,Lancôme,Juicy Tube,Gloss,25.0,17,4.9,9,2025-05-06,https://www.sephora.es/p/juicy-tube---gloss-P10054082.html,Standard,,,"Hidratante, Brillante / Glossy",,,Todo tipo de pieles,Total,,"Liquido, Bálsamo, Gel"
37,Labios,Gloss/ Brillo labial,Estée Lauder,Pure Color Melt On,Brillo de labios en barra,39.0,0,0.0,8,2025-05-06,https://www.sephora.es/p/pure-color-melt-on---brillo-de-labios-en-barra-P1000207571.html,,,,,,,Todo tipo de pieles,,,Gel
38,Estuches maquillaje,Estuches multi-usos,Sephora Favorites,Golden Glow,Estuche,65.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/silky-hair-secrets---estuche-765078.html,,,,,,,,,,
39,Rostro,Primer & spray fijador,Hourglass,Veil Soft Focus Setting Spray,Spray fijador,52.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/veil-soft-focus-setting-spray---spray-fijador-763117.html,,,,,,,Todo tipo de pieles,Ligera,Natural,Agua/Bruma
40,Rostro,Crema de color,Clarins,Skin Illusion Tinted Moisturizer SPF25,Tratamiento con color efecto glow,47.0,3,4.0,8,2025-05-06,https://www.sephora.es/p/skin-illusion-tinted-moisturizer-spf25---tratamiento-con-color-efecto-glow-P10061826.html,Standard,,,,,,Todo tipo de pieles,"Media, Ligera",Natural,Crema
41,Labios,Gloss/ Brillo labial,Clarins,Water Lip Stain,Barra de labios líquida,36.0,106,4.5,6,2025-05-06,https://www.sephora.es/p/water-lip-stain---barra-de-labios-liquida-P1000206534.html,Frasco,,,,,,Todo tipo de pieles,,,Liquido
42,Rostro,Primer & spray fijador,Hourglass,Illusion Priming Moisturizer,Base de maquillaje,72.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/illusion-priming-moisturizer---base-de-maquillaje-763119.html,,,,,,,Todo tipo de pieles,Ligera,Natural,Liquido
43,Labios,Bálsamo labial,Olehenriksen,Pout Preserve Lip Treatment,Cuidado labial hidratante y antiedad,21.0,1185,4.4,8,2025-05-06,https://www.sephora.es/p/pout-preserve-lip-treatment---cuidado-labial-hidratante-y-antiedad-P10047536.html,,Clean at Sephora,,"Hidratante, Natural",,Vitamina E,Todo tipo de pieles,,,
44,Rostro,Antiojeras & corrector,Too Faced,Born This Way Super Coverage Concealer,Corrector de Viaje,17.0,0,0.0,5,2025-05-06,https://www.sephora.es/p/born-this-way-super-coverage-concealer---corrector-de-viaje-P1000205231.html,,,,,,,,Total,Natural,Crema
45,Labios,Bálsamo labial,Lanolips,101 Delicious Mini Treats,100 % Natural. 101 Usos,12.0,1,4.0,0,2025-05-06,https://www.sephora.es/p/101-delicious-mini-treats---100-%25-natural.-101-usos-749433.html,,,,Hidratante,,,Todo tipo de pieles,,,Bálsamo
46,Rostro,Antiojeras & corrector,Erborian,Super BB Concealer – Antiojeras de alta cobertura + tratamiento eficaz,,18.0,1,5.0,3,2025-05-06,https://www.sephora.es/p/super-bb-concealer-%e2%80%93-antiojeras-de-alta-cobertura-tratamiento-eficaz-P1000207750.html,,,,,,,,"Total, Media",Natural,Crema
47,Ojos,Máscara de pestañas,Too Faced,Ribbon Wrapped Lash,Mini Máscara,17.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/ribbon-wrapped-lash---mini-m%c3%a1scara-756717.html,,,,,Efecto alargado,,Todo tipo de pieles,,,
48,Estuches maquillaje,Estuches multi-usos,Sephora Collection,Get (Un)Ready*,Estuche trío belleza,24.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/get-unready*---estuche-trio-belleza-731471.html,Set/Estuche/Kit,Vegano,,,,,Todo tipo de pieles,,,"Crema, Agua/Bruma"
49,Labios,Bálsamo labial,Lanolips,Multibálsamo de Vainilla,Bálsamo para labios y piel seca,15.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/multib%c3%a1lsamo-de-vainilla---b%c3%a1lsamo-para-labios-y-piel-seca-749426.html,Standard,,,,,,Todo tipo de pieles,,,Loción
50,Pinceles & accesorios,Esponja de maquillaje,Beautyblender,Beautyblender,Esponja de maquillaje,20.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/esponja-de-maquillaje-760114.html,,,,,,,,,,
51,,,Sephora Collection,Time To Glitter,Purpurina Instantánea 2 geles de purpurina,18.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/time-to-glitter---purpurina-instant%c3%a1nea-2-geles-de-purpurina-731472.html,Set/Estuche/Kit,Vegano,,,,,Todo tipo de pieles,Media,Purpurina,Gel
52,Labios,Bálsamo labial,Lanolips,Sun Balm SPF 30 Tropical,bálsamo labial con SPF,15.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/sun-balm-spf-30-tropical---b%c3%a1lsamo-labial-con-spf-760109.html,,,,Hidratante,,,Todo tipo de pieles,,,Bálsamo
53,Labios,Bálsamo labial,Lanolips,Tarta de crema de plátano,Bálsamo labial para pieles secas,15.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/tarta-de-crema-de-pl%c3%a1tano---b%c3%a1lsamo-labial-para-pieles-secas-749427.html,,,,Hidratante,,,Todo tipo de pieles,,,Bálsamo
54,Ojos,Máscara de pestañas,Ilia,Limtless Lash Mascara,Mascara,35.0,4117,4.5,2,2025-05-06,https://www.sephora.es/p/limtless-lash-mascara---mascara-P3953091.html,,,,,Efecto alargado,,Todo tipo de pieles,,,
55,Rostro,Antiojeras & corrector,KOSAS,Revealer Concealer,Antiojeras iluminador,17.0,0,0.0,6,2025-05-06,https://www.sephora.es/p/revealer-concealer---antiojeras-iluminador-P10060107.html,Standard,Clean at Sephora,,,,,Todo tipo de pieles,Ligera,Natural,Liquido
56,Rostro,Colorete,Lancôme,Blush Subtil,Colorete en Polvo,51.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/blush-subtil---colorete-en-polvo-P1000206645.html,,,,,,,Todo tipo de pieles,Media,,
57,Rostro,Polvos bronceadores,Pixi,On-the-Glow BASE,Base de maquillaje hidratante,26.0,0,0.0,8,2025-05-06,https://www.sephora.es/p/on-the-glow-base---base-de-maquillaje-hidratante-P1000207618.html,,,,,,,Todo tipo de pieles,Ligera,,Bálsamo
58,Labios,Gloss/ Brillo labial,Pixi,Pixi Lip Tone,Gloss Labial con pH Reactivo,11.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/pixi-lip-tone---gloss-labial-con-ph-reactivo-P1000207749.html,,,,"Hidratante, Natural",,,,,,"Liquido, Crema, Gel"
59,Ojos,Máscara de pestañas,Sephora Collection,Size Up,Máscara Volumen Extralargo Inmediato (Formato de viaje),7.0,640,3.9,0,2025-05-06,https://www.sephora.es/p/size-up---m%c3%a1scara-volumen-extralargo-inmediato-formato-de-viaje-690233.html,Standard,Vegano,,,,,,,,Polvo compacto
60,Rostro,Iluminador,Sephora Collection,Colorful Luminizer,Polvos iluminadores para el rostro,12.99,0,0.0,3,2025-05-06,https://www.sephora.es/p/colorful-luminizer---polvos-iluminadores-para-el-rostro-P10062064.html,Standard,,,,,,Todo tipo de pieles,,,Polvo compacto
61,Rostro,Polvos matificantes,Givenchy,Prisme Libre Pressed Powder,Polvos compactos fijadores y matificantes,56.0,750,4.8,3,2025-05-06,https://www.sephora.es/p/prisme-libre-pressed-powder---polvos-compactos-fijadores-y-matificantes-P1000206464.html,Standard,,,,,No comedogénico,Todo tipo de pieles,"Media, Ligera","Natural, Mate",
62,Rostro,Polvos bronceadores,Givenchy,Prisme Libre Bronzer Powder,Polvos bronceadores y esculpidores 4 Colores,56.0,13,4.9,3,2025-05-06,https://www.sephora.es/p/prisme-libre-bronzer-powder---polvos-bronceadores-y-esculpidores-4-colores-P1000206465.html,Standard,,,,,No comedogénico,Todo tipo de pieles,"Media, Ligera",Natural,
63,Ojos,Sombras de ojos,Rem Beauty,Starlet,Sombra de ojos líquida,23.0,2,3.5,12,2025-05-06,https://www.sephora.es/p/starlet---sombra-de-ojos-liquida-P1000206884.html,,Clean at Sephora,"Mate, Irisado/Nacarado, Brillante",,,,Todo tipo de pieles,,,Liquido
64,Rostro,Polvos bronceadores,Dior,Dior Forever Nude Bronze,Polvos bronceadores acabado radiante edición limitada,65.0,0,0.0,2,2025-05-06,https://www.sephora.es/p/dior-forever-nude-bronze---polvos-bronceadores-acabado-radiante-edicion-limitada-P1000207494.html,,,,,,,Todo tipo de pieles,Ligera,Natural,
65,Labios,Voluminizador labios,Dior Backstage,Dior Lip Glow Oil,Aceite para labios brillante nutritivo realzador del color,48.0,438,4.2,3,2025-05-06,https://www.sephora.es/p/dior-lip-glow-oil---aceite-para-labios-brillante-nutritivo-realzador-del-color-P1000207243.html,,,,,,,Todo tipo de pieles,,,Aceite
66,Ojos,Paleta de sombras de ojos,Dior,Diorshow 5 Couleurs edición limitada,sombras de ojos de colores intensos,75.0,0,0.0,2,2025-05-06,https://www.sephora.es/p/diorshow-5-couleurs-edicion-limitada---sombras-de-ojos-de-colores-intensos-P1000207244.html,,,Irisado/Nacarado,,,,,,,
67,Uñas,Esmalte de uñas,Dior,Dior Vernis,Laca de uñas efecto gel color couture,37.0,0,0.0,2,2025-05-06,https://www.sephora.es/p/dior-vernis---laca-de-unas-efecto-gel-color-couture-P1000207385.html,,,,,,,Todo tipo de pieles,,Purpurina,
68,Cejas,Estuche para cejas,Benefit Cosmetics,"Precisely, My Brow Pack",dúo de lápiz de cejas y cera,44.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/precisely-my-brow-pack---duo-de-l%c3%a1piz-de-cejas-y-cera-762816.html,,,,,,,Todo tipo de pieles,,Natural,Gel
69,Estuches maquillaje,Estuches multi-usos,Benefit Cosmetics,Get Rollin' Mascara Duo,Full-size & Mini Roller Lash Máscara de Pestañas,33.0,2,5.0,0,2025-05-06,https://www.sephora.es/p/get-rollin-mascara-duo---full-size-mini-roller-lash-m%c3%a1scara-de-pestanas-757500.html,,,,,,,Todo tipo de pieles,,,Gel
70,Rostro,Paleta rostro,Benefit Cosmetics,The POREfessional Try-Me Trio,"Mini Cleasnser Aceite, Mascarilla y Primer",41.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/the-porefessional-try-me-trio---mini-cleasnser-aceite-mascarilla-y-primer-757387.html,,,,,,,Todo tipo de pieles,,,
71,Rostro,Polvos matificantes,Sephora Collection,Polvos Matificantes 12h,Polvos de Larga Duración (Formato de Viaje),10.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/polvos-matificantes--12h---polvos-de-larga-duracion-formato-de-viaje-725329.html,Standard,Vegano,,,,,,,,Polvo compacto
72,Labios,Barra de labios,Charlotte Tilbury,Hot Lips 2.0,Lápiz de labios,39.99,375,4.4,5,2025-05-06,https://www.sephora.es/p/hot-lips-2.0---barra-de-labios-P3766008.html,Standard,Vegano,,Hidratante,,,Todo tipo de pieles,Media,,Bálsamo
73,Ojos,Paleta de sombras de ojos,Natasha Denona,Mini eye sculpt palette,Paleta de sombras de ojos,28.0,183,4.5,0,2025-05-06,https://www.sephora.es/p/mini-eye-sculpt-palette---paleta-de-sombras-de-ojos-745613.html,Set/Estuche/Kit,,Mate,,,Libre de aceite,Todo tipo de pieles,,,
74,Ojos,Sombras de ojos,Too Faced,Quickie Queen,Barra de Sombra de Ojos,28.0,0,0.0,8,2025-05-06,https://www.sephora.es/p/quickie-queen---barra-de-sombra-de-ojos-P1000206663.html,,,Purpurina,,,,Todo tipo de pieles,,,Crema
75,Pinceles & accesorios,Esponja de maquillaje,Beautyblender,Beautyblender,Esponja de maquillaje,19.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/beautyblender---esponja-de-maquillaje-719088.html,Standard,,,,,,Todo tipo de pieles,,,
76,Labios,Gloss/ Brillo labial,Valentino,Puffer Gloss,"Brillo de labios extra volumen, extra brillo, extra cuidado",39.99,1020,4.7,6,2025-05-06,https://www.sephora.es/p/puffer-gloss---brillo-de-labios-extra-volumen-extra-brillo-extra-cuidado-P1000207319.html,,,,,,,,,,Liquido
77,Labios,Bálsamo labial,Tarte,maracuja juicy melt mask,Mascarilla labial,27.0,2,5.0,3,2025-05-06,https://www.sephora.es/p/maracuja-juicy-melt-mask---mascarilla-labial-P10061602.html,,,,"Hidratante, Natural",,,,,,Liquido
78,Rostro,Polvos sueltos,Makeup By Mario,SurrealSkin™ Soft Blur Setting Powder,Polvos Libres,43.0,3,4.0,7,2025-05-06,https://www.sephora.es/p/surrealskin%e2%84%a2-soft-blur-setting-powder---polvos-libres-P10061412.html,,,,,,,Todo tipo de pieles,Ligera,Natural,
79,Ojos,Máscara de pestañas,Fenty Beauty,Hella Thicc Extra Primer,Base voluminizadora para máscaras de pestañas,21.0,0,0.0,0,2025-05-06,https://www.sephora.es/p/hella-thicc-extra-primer---base-voluminizadora-para-m%c3%a1scaras-de-pestanas-760348.html,Standard,,,,Voluminizador,,Piel normal,,,Polvo compacto
80,Labios,Gloss/ Brillo labial,Fenty Beauty,Gloss Bomb Oil,Aceite-gloss para los labios,28.0,0,0.0,7,2025-05-06,https://www.sephora.es/p/gloss-bomb-oil---aceite-gloss-para-los-labios-P1000207159.html,,,,,,,Todo tipo de pieles,,,Liquido
81,Labios,Barra de labios,Charlotte Tilbury,Pillow Talk Love Efecto Lipstick,Lápiz de labios,36.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/charlottes-beauty-soulmates-face-palette---paleta-rostro-P1000207297.html,,,,,,,,,,
82,Rostro,Paleta rostro,Charlotte Tilbury,Charlotte's Beauty Soulmates,Paleta rostro,53.0,90,4.9,2,2025-05-06,https://www.sephora.es/p/charlottes-beauty-soulmates---paleta-rostro-P1000207296.html,,,,,,,,,"Natural, Mate",
83,Estuches maquillaje,Estuches multi-usos,Charlotte Tilbury,Pillow Talk Lip & Cheek Set,Estuche labios y mejillas,55.0,0,0.0,2,2025-05-06,https://www.sephora.es/p/pillow-talk-lip-cheek-set---estuche-labios-y-mejillas-P1000207383.html,,,,,,,,,,
84,Rostro,Colorete,Nudestix,Nudies All Over Face Color Bronze + Glow,"Para ojos, mejillas y labios",33.99,476,4.3,2,2025-05-06,https://www.sephora.es/p/nudies-all-over-face-color-bronze-glow---stick-bronceador-luminosidad-P3006022.html,,Clean at Sephora,,,,,,,,
85,Labios,Barra de labios,Yves Saint Laurent,Loveshine,Gloss,42.0,12,4.4,8,2025-05-06,https://www.sephora.es/p/loveshine---gloss-P1000206779.html,Frasco,,,"Hidratante, Voluminizador",,,Todo tipo de pieles,,,"Liquido, Gel"
86,Rostro,Iluminador,Haus Labs,Bio-Radiant™ Glassy Highlighter Balm,Bálsamo iluminador facial,34.0,2,5.0,6,2025-05-06,https://www.sephora.es/p/bio-radiant%e2%84%a2-glassy-highlighter-balm---b%c3%a1lsamo-iluminador-facial-P10061973.html,,Clean at Sephora,,,,,Todo tipo de pieles,,Brillante,Bálsamo
87,Rostro,Polvos bronceadores,Guerlain,Terracotta Light,Polvos Bronceadores Edición Limitada,39.0,2,5.0,3,2025-05-06,https://www.sephora.es/p/na-P1000206221.html,,,,,,,Todo tipo de pieles,Media,Natural,Polvo compacto
88,Labios,Barra de labios,Givenchy,Rose Perfecto Shine Serum Lipstick,Barra de labios brillo y cuidado,44.0,450,4.7,7,2025-05-06,https://www.sephora.es/p/rose-perfecto-shine-serum-lipstick---barra-de-labios-brillo-y-cuidado-P1000205701.html,Standard,,,"Hidratante, Larga duración, Voluminizador",,No comedogénico,Todo tipo de pieles,,,"Bálsamo, Aceite"
89,Rostro,Primer & spray fijador,Huda Beauty,Easy Bake Setting Spray,Spray fijador de maquillaje 16 horas,35.0,1014,4.6,2,2025-05-06,https://www.sephora.es/p/easy-bake-setting-spray---espray-fijador-de-maquillaje-16-horas-P10061878.html,Standard,,,,,,,,Natural,Spray
90,Pinceles & accesorios,Esponja de maquillaje,Huda Beauty,Mini Puffs Powder Puff Trío,Trío de Miniborlas,19.0,2,4.5,0,2025-05-06,https://www.sephora.es/p/mini-puffs-powder-puff-trio---trio-de-miniborlas-760627.html,"Standard, Formato viaje",,,,,,,,Mate,
91,Rostro,Colorete,Rare Beauty,Soft Pinch Matte Bouncy Blush,Colorete en crema y polvo,31.0,5,5.0,7,2025-05-06,https://www.sephora.es/p/soft-pinch-matte-bouncy-blush---blush-mate-efecto-cocon-P1000206857.html,,,,,,,,,"Natural, Mate",
92,Rostro,Colorete,Sephora Collection,Paleta Blush Blush Blush,Trío de blush,18.0,13,4.3,4,2025-05-06,https://www.sephora.es/p/paleta-blush-blush-blush---trio-de-blush-P10061917.html,Set/Estuche/Kit,Vegano,,,,,Todo tipo de pieles,"Total, Media, Ligera","Natural, Mate","Crema, Polvo compacto"
93,Labios,Gloss/ Brillo labial,Masqmai,Perfect Lipgloss,brillo de labios,20.0,0,0.0,4,2025-05-06,https://www.sephora.es/p/perfect-lipgloss---brillo-de-labios-P1000207231.html,,,,Larga duración,,,,,,Gel
